skfjv65 [2025-10-12T07:22:38.638Z] "GET /home HTTP/1.1" 200 3.944 ms - anonymous - none
fj0w07c [2025-10-12T07:22:43.531Z] "POST /api/v1/auth/logout HTTP/1.1" 200 6.108 ms - anonymous - none
u43y5wo [2025-10-12T07:22:46.945Z] "POST /api/v1/auth/login HTTP/1.1" 200 237.171 ms - anonymous - none
o327tn6 [2025-10-12T07:22:50.543Z] "GET /api/v1/auth/profile HTTP/1.1" 200 47.847 ms - 68e222ca4459206ec237b857 - none
fx6bmx8 [2025-10-12T07:22:54.178Z] "GET /api/v1/auth/ HTTP/1.1" 200 0.986 ms - anonymous - none
e3fk9yt [2025-10-12T07:23:44.032Z] "GET /api/v1/url HTTP/1.1" 200 0.319 ms - anonymous - none
y8i0czh [2025-10-12T07:23:50.477Z] "GET /api/v1/url/mylink2 HTTP/1.1" 302 64.391 ms - anonymous - mylink2
gtz5r6p [2025-10-12T07:38:32.247Z] "GET /home HTTP/1.1" 200 5.073 ms - ::1 - anonymous - PostmanRuntime/7.48.0 - none - none
cyq6si9 [2025-10-12T07:38:37.610Z] "GET /api/v1/auth/ HTTP/1.1" 200 4.859 ms - ::1 - anonymous - PostmanRuntime/7.48.0 - none - none
nvtcpuz [2025-10-12T07:38:42.467Z] "POST /api/v1/auth/login HTTP/1.1" 200 229.897 ms - ::1 - anonymous - PostmanRuntime/7.48.0 - none - none
bfta35z [2025-10-12T07:38:47.853Z] "GET /api/v1/auth/profile HTTP/1.1" 200 48.751 ms - ::1 - user1 - PostmanRuntime/7.48.0 - none - none
ejjqlz0 [2025-10-12T07:38:51.993Z] "GET /api/v1/url HTTP/1.1" 200 0.356 ms - ::1 - anonymous - PostmanRuntime/7.48.0 - none - none


New Starting----------------------------------------------------------------------------------
[Oct 12, 2025, 13:41:39] slwo8mr | IP: ::1 | User: anonymous | "GET /home" | Status: 200 | Time: 0.809 ms | UA: PostmanRuntime/7.48.0 | ShortID: none | OriginalURL: none
[Oct 12, 2025, 13:41:53] s2uxoay | IP: ::1 | User: user1 | "POST /api/v1/url" | Status: 400 | Time: 82.386 ms | UA: PostmanRuntime/7.48.0 | ShortID: none | OriginalURL: https://www.facebook.com/
[Oct 18, 2025, 11:26:00] a0zieuy | IP: ::1 | User: anonymous | "GET /home" | Status: 200 | Time: 5.501 ms | UA: PostmanRuntime/7.48.0 | ShortID: none | OriginalURL: none
[Oct 18, 2025, 11:26:08] 264cn3k | IP: ::1 | User: anonymous | "GET /api/v1/auth/" | Status: 200 | Time: 6.520 ms | UA: PostmanRuntime/7.48.0 | ShortID: none | OriginalURL: none
[Oct 18, 2025, 11:26:22] 4dll1ab | IP: ::1 | User: anonymous | "POST /api/v1/auth/login" | Status: 500 | Time: 491.756 ms | UA: PostmanRuntime/7.48.0 | ShortID: none | OriginalURL: none
[Oct 18, 2025, 11:36:48] fqj7m5b | IP: ::1 | User: anonymous | "GET /home" | Status: 200 | Time: 3.300 ms | UA: PostmanRuntime/7.48.0 | ShortID: none | OriginalURL: none
[Oct 18, 2025, 11:36:54] c3rsjxs | IP: ::1 | User: anonymous | "POST /api/v1/auth/login" | Status: 200 | Time: 486.395 ms | UA: PostmanRuntime/7.48.0 | ShortID: none | OriginalURL: none
[Oct 18, 2025, 11:37:02] 4fpsox7 | IP: ::1 | User: user1 | "GET /api/v1/auth/profile" | Status: 200 | Time: 49.130 ms | UA: PostmanRuntime/7.48.0 | ShortID: none | OriginalURL: none
[Oct 18, 2025, 11:37:10] fn2yaww | IP: ::1 | User: anonymous | "GET /api/v1/url" | Status: 200 | Time: 0.357 ms | UA: PostmanRuntime/7.48.0 | ShortID: none | OriginalURL: none
[Oct 18, 2025, 11:37:39] 0uelxrd | IP: ::1 | User: user1 | "POST /api/v1/url" | Status: 201 | Time: 161.351 ms | UA: PostmanRuntime/7.48.0 | ShortID: none | OriginalURL: https://www.wikipedia.com/
[Oct 18, 2025, 11:37:51] rl1xpkb | IP: ::1 | User: anonymous | "GET /api/v1/url/mylink3" | Status: 302 | Time: 56.317 ms | UA: PostmanRuntime/7.48.0 | ShortID: mylink3 | OriginalURL: none
[Oct 18, 2025, 11:38:04] ehxmgde | IP: ::1 | User: user1 | "GET /api/v1/url/mylink3/analytics" | Status: 200 | Time: 91.191 ms | UA: PostmanRuntime/7.48.0 | ShortID: mylink3 | OriginalURL: none
[Oct 18, 2025, 11:38:25] ok5ilou | IP: ::1 | User: anonymous | "GET /home" | Status: 200 | Time: 0.359 ms | UA: PostmanRuntime/7.48.0 | ShortID: none | OriginalURL: none
[Oct 18, 2025, 11:38:36] rn7aq5d | IP: ::1 | User: user1 | "POST /api/v1/auth/logout" | Status: 200 | Time: 141.939 ms | UA: PostmanRuntime/7.48.0 | ShortID: none | OriginalURL: none
